Gender,Age,Waist,TotalHeight,source
2.0,18.0,27.0,67.0,Mendeley
1.0,19.0,26.0,69.0,Mendeley
1.0,19.0,25.0,68.0,Mendeley
2.0,20.0,26.0,69.0,Mendeley
1.0,20.0,25.0,68.0,Mendeley
1.0,22.0,26.0,72.0,Mendeley
1.0,2.0,18.0,31.0,Mendeley
2.0,2.0,19.0,35.0,Mendeley
1.0,3.0,12.0,32.0,Mendeley
2.0,4.0,16.0,35.0,Mendeley
2.0,4.0,20.0,38.0,Mendeley
1.0,4.0,20.0,38.0,Mendeley
2.0,4.0,22.0,39.0,Mendeley
1.0,4.0,20.0,37.0,Mendeley
1.0,4.0,22.0,39.0,Mendeley
1.0,5.0,23.0,42.0,Mendeley
1.0,6.0,20.0,37.0,Mendeley
2.0,6.0,20.0,38.0,Mendeley
2.0,6.0,21.0,39.0,Mendeley
1.0,8.0,12.0,42.0,Mendeley
2.0,11.0,22.0,50.0,Mendeley
1.0,12.0,22.0,50.0,Mendeley
2.0,15.0,38.0,59.0,Mendeley
1.0,18.0,42.0,66.0,Mendeley
1.0,14.0,20.0,64.0,Mendeley
2.0,20.0,37.0,59.0,Mendeley
1.0,29.0,38.0,66.0,Mendeley
1.0,37.0,33.0,68.0,Mendeley
2.0,49.0,48.0,60.0,Mendeley
2.0,52.0,14.0,60.0,Mendeley
2.0,23.0,47.0,62.0,Mendeley
1.0,40.0,45.0,70.0,Mendeley
1.0,51.0,36.0,65.0,Mendeley
1.0,65.0,39.0,68.0,Mendeley
1.0,62.0,45.0,67.0,Mendeley
1.0,65.0,39.0,68.0,Mendeley
1.0,46.0,43.0,64.0,Mendeley
1.0,65.0,39.0,64.0,Mendeley
1.0,44.0,44.0,69.0,Mendeley
1.0,40.0,45.0,70.0,Mendeley
1.0,68.0,37.0,64.0,Mendeley
1.0,44.0,44.0,67.0,Mendeley
1.0,37.0,33.0,68.0,Mendeley
1.0,51.0,36.0,65.0,Mendeley
1.0,39.0,36.0,67.0,Mendeley
1.0,51.0,35.0,68.0,Mendeley
1.0,29.0,38.0,66.0,Mendeley
1.0,18.0,42.0,64.0,Mendeley
2.0,18.0,38.0,60.0,Mendeley
2.0,16.0,32.0,61.0,Mendeley
2.0,18.0,37.0,59.0,Mendeley
2.0,24.0,41.0,65.0,Mendeley
2.0,52.0,41.0,60.0,Mendeley
2.0,1.0,18.0,35.0,Mendeley
1.0,14.0,20.0,64.0,Mendeley
2.0,49.0,48.0,60.0,Mendeley
2.0,15.0,38.0,59.0,Mendeley
1.0,8.0,24.0,49.0,Mendeley
1.0,5.0,23.0,42.0,Mendeley
1.0,1.0,18.0,31.0,Mendeley
2.0,28.0,47.0,62.0,Mendeley
2.0,21.0,45.0,60.0,Mendeley
2.0,20.0,37.0,59.0,Mendeley
1.0,10.0,25.0,52.0,Mendeley
1.0,7.0,22.0,45.0,Mendeley
1.0,7.0,22.0,47.0,Mendeley
1.0,6.0,20.0,37.0,Mendeley
1.0,7.0,23.0,41.0,Mendeley
1.0,12.0,22.0,50.0,Mendeley
1.0,10.0,22.0,44.0,Mendeley
1.0,7.0,22.0,46.0,Mendeley
1.0,6.0,23.0,45.0,Mendeley
1.0,7.0,21.0,45.0,Mendeley
1.0,9.0,24.0,50.0,Mendeley
1.0,6.0,20.0,37.0,Mendeley
1.0,6.0,20.0,36.0,Mendeley
1.0,6.0,21.0,37.0,Mendeley
2.0,6.0,20.0,38.0,Mendeley
2.0,6.0,21.0,39.0,Mendeley
2.0,6.0,20.0,37.0,Mendeley
2.0,6.0,20.0,36.0,Mendeley
2.0,6.0,22.0,37.0,Mendeley
2.0,9.0,25.0,50.0,Mendeley
2.0,7.0,22.0,51.0,Mendeley
2.0,6.0,20.0,37.0,Mendeley
2.0,9.0,20.0,37.0,Mendeley
2.0,10.0,24.0,50.0,Mendeley
2.0,12.0,21.0,51.0,Mendeley
2.0,11.0,22.0,50.0,Mendeley
2.0,10.0,20.0,55.0,Mendeley
2.0,6.0,22.0,36.0,Mendeley
1.0,10.0,13.0,43.0,Mendeley
1.0,11.0,12.0,43.0,Mendeley
1.0,13.0,12.0,47.0,Mendeley
1.0,12.0,12.0,46.0,Mendeley
1.0,14.0,13.0,48.0,Mendeley
1.0,14.0,12.0,49.0,Mendeley
1.0,15.0,11.0,46.0,Mendeley
1.0,10.0,13.0,43.0,Mendeley
2.0,10.0,12.0,43.0,Mendeley
1.0,8.0,12.0,42.0,Mendeley
1.0,9.0,13.0,43.0,Mendeley
2.0,6.0,21.0,39.0,Mendeley
1.0,10.0,25.0,28.0,Mendeley
1.0,8.0,22.0,43.0,Mendeley
2.0,7.0,25.0,41.0,Mendeley
2.0,8.0,23.0,44.0,Mendeley
2.0,8.0,23.0,44.0,Mendeley
1.0,9.0,24.0,47.0,Mendeley
1.0,8.0,26.0,46.0,Mendeley
1.0,8.0,12.0,44.0,Mendeley
2.0,10.0,26.0,48.0,Mendeley
2.0,8.0,23.0,44.0,Mendeley
2.0,10.0,27.0,47.0,Mendeley
2.0,8.0,23.0,48.0,Mendeley
2.0,13.0,27.0,54.0,Mendeley
2.0,11.0,23.0,52.0,Mendeley
2.0,13.0,27.0,54.0,Mendeley
2.0,11.0,25.0,51.0,Mendeley
1.0,4.0,20.0,38.0,Mendeley
1.0,11.0,24.0,45.0,Mendeley
2.0,12.0,26.0,44.0,Mendeley
2.0,4.0,20.0,38.0,Mendeley
1.0,11.0,23.0,52.0,Mendeley
2.0,8.0,26.0,48.0,Mendeley
1.0,15.0,28.0,54.0,Mendeley
1.0,8.0,21.0,39.0,Mendeley
2.0,10.0,27.0,47.0,Mendeley
2.0,10.0,23.0,46.0,Mendeley
2.0,7.0,25.0,44.0,Mendeley
1.0,11.0,25.0,43.0,Mendeley
2.0,9.0,10.0,45.0,Mendeley
1.0,6.0,11.0,41.0,Mendeley
1.0,6.0,9.0,43.0,Mendeley
1.0,7.0,10.0,43.0,Mendeley
2.0,7.0,11.0,43.0,Mendeley
1.0,9.0,9.0,45.0,Mendeley
2.0,8.0,10.0,42.0,Mendeley
1.0,10.0,11.0,51.0,Mendeley
1.0,9.0,12.0,46.0,Mendeley
2.0,9.0,10.0,48.0,Mendeley
1.0,12.0,12.0,49.0,Mendeley
1.0,9.0,12.0,44.0,Mendeley
1.0,7.0,12.0,44.0,Mendeley
1.0,8.0,10.0,43.0,Mendeley
1.0,5.0,10.0,39.0,Mendeley
1.0,5.0,11.0,39.0,Mendeley
2.0,12.0,6.0,35.0,Mendeley
2.0,8.0,11.0,44.0,Mendeley
1.0,10.0,11.0,42.0,Mendeley
1.0,5.0,11.0,45.0,Mendeley
2.0,10.0,12.0,48.0,Mendeley
2.0,12.0,12.0,47.0,Mendeley
2.0,13.0,14.0,52.0,Mendeley
2.0,12.0,11.0,46.0,Mendeley
2.0,9.0,12.0,46.0,Mendeley
2.0,6.0,10.0,38.0,Mendeley
1.0,3.0,7.0,32.0,Mendeley
2.0,13.0,13.0,51.0,Mendeley
2.0,13.0,12.0,51.0,Mendeley
2.0,18.0,26.0,48.0,Mendeley
1.0,11.0,23.0,33.0,Mendeley
1.0,9.0,22.0,46.0,Mendeley
2.0,10.0,24.0,49.0,Mendeley
2.0,10.0,23.0,46.0,Mendeley
2.0,13.0,27.0,54.0,Mendeley
1.0,10.0,24.0,49.0,Mendeley
2.0,7.0,25.0,44.0,Mendeley
2.0,11.0,25.0,51.0,Mendeley
2.0,18.0,26.0,48.0,Mendeley
2.0,9.0,22.0,46.0,Mendeley
2.0,4.0,20.0,38.0,Mendeley
2.0,10.0,23.0,48.0,Mendeley
1.0,11.0,23.0,38.0,Mendeley
2.0,10.0,25.0,46.0,Mendeley
2.0,11.0,25.0,51.0,Mendeley
2.0,7.0,18.0,44.0,Mendeley
1.0,6.0,23.0,39.0,Mendeley
1.0,10.0,18.0,46.0,Mendeley
1.0,8.0,24.0,38.0,Mendeley
2.0,10.0,27.0,49.0,Mendeley
